Location,FIPS Code,Percent Change in Interpersonal Violence
Delaware County,19055,-23.49399738
Des Moines County,19057,-5.394668445
Dickinson County,19059,-12.30514826
Dubuque County,19061,-18.85382375
Emmet County,19063,-4.649551576
Fayette County,19065,-22.40107821
Floyd County,19067,4.635754274
Franklin County,19069,-0.71541257
Fremont County,19071,-28.12779641
Greene County,19073,-24.58808117
Grundy County,19075,-12.01681183
Guthrie County,19077,-25.00788135
Hamilton County,19079,3.236477841
Hancock County,19081,-17.03823103
Hardin County,19083,6.771678637
Harrison County,19085,-8.811727521
Henry County,19087,-11.5268177
Howard County,19089,-18.72105112
Humboldt County,19091,-11.938044
Ida County,19093,-18.18708993
Iowa County,19095,-13.90535138
Jackson County,19097,-27.69707558
Jasper County,19099,-22.09510496
Jefferson County,19101,-1.137459994
Johnson County,19103,-10.68564641
Jones County,19105,-21.57826612
Keokuk County,19107,-16.95084904
Kossuth County,19109,-24.77192039
Lee County,19111,-20.05604086
Linn County,19113,-4.6816128
Louisa County,19115,-7.003047945
Lucas County,19117,-32.45443146
Lyon County,19119,-26.21699583
Madison County,19121,-28.35033506
Mahaska County,19123,-25.09097253
Marion County,19125,-34.53165362
Marshall County,19127,23.18288127
Mills County,19129,-14.02601861
Mitchell County,19131,-21.50620049
Monona County,19133,-5.024014184
Monroe County,19135,-21.51439681
Montgomery County,19137,-7.327437078
Muscatine County,19139,7.311957326
O'Brien County,19141,-14.02933798
Osceola County,19143,-18.13638728
Page County,19145,-12.09510092
Palo Alto County,19147,-19.00298287
Plymouth County,19149,-8.830546487
Pocahontas County,19151,-21.92279379
Polk County,19153,-37.00015223
Pottawattamie County,19155,12.00171337
Poweshiek County,19157,-16.16730328
Ringgold County,19159,-22.84948499
Sac County,19161,-17.42903949
Scott County,19163,-11.69137367
Shelby County,19165,-12.01559088
Sioux County,19167,-20.56462582
Story County,19169,-15.65041128
Tama County,19171,5.822653391
Taylor County,19173,-29.00569193
Union County,19175,-20.16737019
Van Buren County,19177,-20.4012448
Wapello County,19179,3.690068011
Warren County,19181,-31.44263897
Washington County,19183,-15.9675446
Wayne County,19185,-25.85750774
Webster County,19187,8.148316995
Winnebago County,19189,-16.68869874
Winneshiek County,19191,-40.65701756
Woodbury County,19193,6.143879412
Worth County,19195,-7.466983015
Wright County,19197,-10.98520351
Allen County,20001,-19.98094527
Anderson County,20003,-32.39635148
Atchison County,20005,-36.40178921
Barber County,20007,-43.88591332
Barton County,20009,-18.43680845
Bourbon County,20011,-15.30376925
Brown County,20013,-16.30794919
Butler County,20015,-28.43712761
Chase County,20017,-9.384427841
Chautauqua County,20019,-17.55640246
Cherokee County,20021,-22.08157316
Cheyenne County,20023,-28.09449517
Clark County,20025,-43.0260324
Clay County,20027,-20.79234067
Cloud County,20029,-16.12137643
Coffey County,20031,-18.39163884
Comanche County,20033,-45.7014197
Cowley County,20035,-21.1999838
Crawford County,20037,-19.21664627
Decatur County,20039,-28.01199919
Dickinson County,20041,-9.482699732
Doniphan County,20043,-36.32956389
Douglas County,20045,-30.09130144
Edwards County,20047,-36.0778981
Elk County,20049,-17.997997
Ellis County,20051,-40.9038854
Ellsworth County,20053,-9.323600621
Finney County,20055,-17.9856759
Ford County,20057,-11.77483984
Franklin County,20059,-30.48110986
Geary County,20061,-13.38891177
Gove County,20063,-31.11123624
Graham County,20065,-33.09860576
Grant County,20067,-31.24222072
Gray County,20069,-44.95979025
Greeley County,20071,-27.84818646
Greenwood County,20073,5.497820711
Hamilton County,20075,-15.94716773
Harper County,20077,-38.78151646
Harvey County,20079,-30.24978711
Haskell County,20081,-41.30331974
Hodgeman County,20083,-45.15715093
Jackson County,20085,-15.88455933
Jefferson County,20087,-25.31898806
Jewell County,20089,-32.62888236
Johnson County,20091,-37.09288222
Kearny County,20093,-30.37677821
Kingman County,20095,-35.91040832
Kiowa County,20097,-36.86539983
Labette County,20099,-7.386988613
Lane County,20101,-21.47063308
Leavenworth County,20103,-37.47795757
Lincoln County,20105,-21.610163
Linn County,20107,-26.60227044
Logan County,20109,-31.9944677
Lyon County,20111,5.886442673
McPherson County,20113,-14.27487713
Marion County,20115,-25.66229197
Marshall County,20117,-32.85541538
Meade County,20119,-55.13952122
Miami County,20121,-44.42198741
Mitchell County,20123,-18.2220782
Montgomery County,20125,-12.37430364
Morris County,20127,-14.43799621
Morton County,20129,-36.52083721
Nemaha County,20131,-31.32140311
Neosho County,20133,-9.501153533
Ness County,20135,-36.57646698
Norton County,20137,-29.52391491
Osage County,20139,-13.91156469
Osborne County,20141,-30.12191807
Ottawa County,20143,-16.61152234
Pawnee County,20145,-31.72296555
Phillips County,20147,-32.08034254
Pottawatomie County,20149,-21.78278323
Pratt County,20151,-33.77345786
Rawlins County,20153,-33.68420706
Reno County,20155,-31.84754002
Republic County,20157,-22.15898723
Rice County,20159,-20.76930555
Riley County,20161,-37.691361
Rooks County,20163,-34.04248383
Rush County,20165,-36.15105838
Russell County,20167,-26.13069995
Saline County,20169,4.563002886
Scott County,20171,-21.23875915
Sedgwick County,20173,-31.63903547
Seward County,20175,-49.55443101
Shawnee County,20177,0.25719265
Sheridan County,20179,-35.07144573
Sherman County,20181,-23.06595777
Smith County,20183,-30.79470103
Stafford County,20185,-31.62874859
Stanton County,20187,-38.19879573
Stevens County,20189,-46.56654238
Sumner County,20191,-32.60261419
Thomas County,20193,-30.53824948
Trego County,20195,-32.73588819
Wabaunsee County,20197,-18.48872139
Wallace County,20199,-34.47412391
Washington County,20201,-31.99178105
Wichita County,20203,-27.9946992
Wilson County,20205,-5.583195688
Woodson County,20207,-13.21145406
Wyandotte County,20209,-17.25178687
Adair County,21001,-37.78916742
Allen County,21003,-41.81131412
Anderson County,21005,-36.22417429
Ballard County,21007,-38.62820599
Barren County,21009,-41.27446545
Bath County,21011,-33.81149251
Bell County,21013,-53.16157551
Boone County,21015,-10.0214022
Bourbon County,21017,-30.34243008
Boyd County,21019,-22.79377407
Boyle County,21021,-44.16547983
Bracken County,21023,-29.01995712
Breathitt County,21025,-53.50565695
Breckinridge County,21027,-30.95501084
Bullitt County,21029,-43.57266929
Butler County,21031,-29.95688439
Caldwell County,21033,-25.25433875
Calloway County,21035,-28.75250907
Campbell County,21037,-32.25863358
Carlisle County,21039,-21.12391509
Carroll County,21041,-22.73987755
Carter County,21043,-17.47268589
Casey County,21045,-34.24186442
Christian County,21047,-25.66816092
Clark County,21049,-21.29810594
Clay County,21051,-50.8661622
Clinton County,21053,-30.61750577
Crittenden County,21055,-20.16907905
Cumberland County,21057,-39.33333162
Daviess County,21059,-36.26318317
Edmonson County,21061,-37.54086618
Elliott County,21063,-16.32624372
Estill County,21065,-20.26927916
Fayette County,21067,-29.52757518
Fleming County,21069,-18.39353136
Floyd County,21071,-44.44780395
Franklin County,21073,-22.67737922
Fulton County,21075,-25.4201309
Gallatin County,21077,-8.160364158
Garrard County,21079,-57.1489739
Grant County,21081,-8.22646729
Graves County,21083,-19.44190357
Grayson County,21085,-17.8502973
Green County,21087,-43.06863844
Greenup County,21089,-14.91912342
Hancock County,21091,-19.80186457
Hardin County,21093,-37.21415335
Harlan County,21095,-61.72194818
Harrison County,21097,-27.4828963
Hart County,21099,-44.99765334
Henderson County,21101,-23.17258285
Henry County,21103,-36.62236923
Hickman County,21105,-40.3280729
Hopkins County,21107,-23.45197914
Jackson County,21109,-52.74738584
Jefferson County,21111,-21.02440626
Jessamine County,21113,-48.13887289
Johnson County,21115,-40.89373896
Kenton County,21117,-20.23117665
Knott County,21119,-41.43639254
Knox County,21121,-54.59100274
Larue County,21123,-38.75623913
Laurel County,21125,-47.59342806
Lawrence County,21127,-28.42511856
Lee County,21129,-34.77889196
Leslie County,21131,-60.82688304
Letcher County,21133,-48.31441594
Lewis County,21135,-13.53773499
Lincoln County,21137,-46.18700491
Livingston County,21139,-29.91327442
Logan County,21141,-33.76945493
Lyon County,21143,-22.0080514
McCracken County,21145,-29.20291634
McCreary County,21147,-34.59864196
McLean County,21149,-24.45979306
Madison County,21151,-52.35776296
Magoffin County,21153,-48.70288775
Marion County,21155,-35.01490738
Marshall County,21157,-29.08325773
Martin County,21159,-10.80916832
Mason County,21161,-27.13832477
Meade County,21163,-23.30244075
Menifee County,21165,-24.19424901
Mercer County,21167,-43.2845876
Metcalfe County,21169,-31.41151302
Monroe County,21171,-31.99894062
Montgomery County,21173,-21.24901719
Morgan County,21175,-30.27100497
Muhlenberg County,21177,-17.1434399
Nelson County,21179,-50.80615187
Nicholas County,21181,-17.95746765
Ohio County,21183,-25.96851596
Oldham County,21185,-40.01652109
Owen County,21187,-27.43080347
Owsley County,21189,-45.08066015
Pendleton County,21191,-31.24773005
Perry County,21193,-63.75904776
Pike County,21195,-34.5548017
Powell County,21197,-23.56617528
Pulaski County,21199,-46.33913322
Robertson County,21201,-20.04144506
Rockcastle County,21203,-49.4512328
Rowan County,21205,-25.56946818
Russell County,21207,-37.2773053
Scott County,21209,-36.84547633
Shelby County,21211,-38.08182843
Simpson County,21213,-40.60209523
Spencer County,21215,-47.94005738
Taylor County,21217,-21.20512223
Todd County,21219,-45.33529362
Trigg County,21221,-28.85954104
Trimble County,21223,-20.85935766
Union County,21225,-30.36228941
Warren County,21227,-50.46675948
Washington County,21229,-47.88564632
Wayne County,21231,-38.76350158
Webster County,21233,-19.21194925
Whitley County,21235,-46.96352892
Wolfe County,21237,-40.66605019
Woodford County,21239,-31.80719057
Acadia Parish,22001,-6.791463424
Allen Parish,22003,-46.36488166
Ascension Parish,22005,-24.21987902
Assumption Parish,22007,-46.12645262
Avoyelles Parish,22009,-26.65704937
Beauregard Parish,22011,-43.55078903
Bienville Parish,22013,-47.9910162
Bossier Parish,22015,-41.35413177
Caddo Parish,22017,-40.58546562
Calcasieu Parish,22019,-24.7721463
Caldwell Parish,22021,-40.10975334
Cameron Parish,22023,-47.97695314
Catahoula Parish,22025,-17.27383028
Claiborne Parish,22027,-38.72793186
Concordia Parish,22029,3.156849959
De Soto Parish,22031,-59.77827728
East Baton Rouge Parish,22033,23.75543743
East Carroll Parish,22035,-18.17130337
East Feliciana Parish,22037,-10.33874057
Evangeline Parish,22039,-29.74547554
Franklin Parish,22041,-42.80047359
Grant Parish,22043,-32.4625972
Iberia Parish,22045,-17.2887413
Iberville Parish,22047,-19.57381258
Jackson Parish,22049,-55.35074101
Jefferson Parish,22051,16.75754198
Jefferson Davis Parish,22053,-8.558132212
Lafayette Parish,22055,-32.54308326
Lafourche Parish,22057,-19.68209085
LaSalle Parish,22059,-39.13790438
Lincoln Parish,22061,-39.50395452
Livingston Parish,22063,-33.90436775
Madison Parish,22065,-29.95308574
Morehouse Parish,22067,-17.26789202
Natchitoches Parish,22069,-43.67085804
Orleans Parish,22071,-16.64149003
Ouachita Parish,22073,-28.12895265
Plaquemines Parish,22075,-29.62165764
Pointe Coupee Parish,22077,-27.6759775
Rapides Parish,22079,-27.73462583
Red River Parish,22081,-54.5207315
Richland Parish,22083,-51.39823169
Sabine Parish,22085,-46.18701296
Saint Bernard Parish,22087,33.17651752
Saint Charles Parish,22089,-13.30204939
Saint Helena Parish,22091,-35.19912124
Saint James Parish,22093,-16.69675066
Saint John the Baptist Parish,22095,52.54350177
Saint Landry Parish,22097,-25.35372213
Saint Martin Parish,22099,-28.71695919
Saint Mary Parish,22101,-33.67915767
Saint Tammany Parish,22103,-37.38418545
Tangipahoa Parish,22105,-45.11301438
Tensas Parish,22107,-44.43792077
Terrebonne Parish,22109,-21.31882775
Union Parish,22111,-55.42175824
Vermilion Parish,22113,-19.98341925
Vernon Parish,22115,-54.31356576
Washington Parish,22117,-17.80504135
Webster Parish,22119,-45.84102998
West Baton Rouge Parish,22121,-24.83520982
West Carroll Parish,22123,-47.47673618
West Feliciana Parish,22125,-51.31524246
Winn Parish,22127,-48.13916969
Androscoggin County,23001,-3.53833863
Aroostook County,23003,-9.305588784
Cumberland County,23005,-26.97438854
Franklin County,23007,-9.379640066
Hancock County,23009,-6.548963111
Kennebec County,23011,-22.99014014
Knox County,23013,-26.61050639
Lincoln County,23015,-23.5873804
Oxford County,23017,-1.934780412
Penobscot County,23019,-9.697171406
Piscataquis County,23021,2.69092699
Sagadahoc County,23023,-35.13019982
Somerset County,23025,-12.77491083
Waldo County,23027,-26.06259809
Washington County,23029,-15.82726838
York County,23031,-15.1220438
Allegany County,24001,-4.495305459
Anne Arundel County,24003,-25.39675962
Baltimore County,24005,2.888618952
Calvert County,24009,-46.8711951
Caroline County,24011,-23.17194877
Carroll County,24013,-25.8867621
Cecil County,24015,12.71056586
Charles County,24017,-22.83970673
Dorchester County,24019,-37.32025888
Frederick County,24021,-16.9200266
Garrett County,24023,-15.50010736
Harford County,24025,-0.239218389
Howard County,24027,-32.38919919
Kent County,24029,-40.1047651
Montgomery County,24031,-20.03016008
Prince George's County,24033,-20.03016008
Queen Anne's County,24035,-39.67093859
Saint Mary's County,24037,-48.52728063
Somerset County,24039,-34.08970139
Talbot County,24041,-47.0523905
Washington County,24043,-0.10303292
Wicomico County,24045,-35.34900683
Worcester County,24047,-55.62597266
Baltimore City,24510,-12.68246306
Barnstable County,25001,-20.95143998
Berkshire County,25003,-24.45921013
Bristol County,25005,-19.16401917
Dukes County,25007,-14.05671656
Essex County,25009,-27.67748197
Franklin County,25011,-28.21918394
Hampden County,25013,-5.447803606
Hampshire County,25015,-42.10491803
Middlesex County,25017,-43.46428509
Nantucket County,25019,1.336045634
Norfolk County,25021,-38.50185592
Plymouth County,25023,-5.536379889
Suffolk County,25025,-57.25505884
Worcester County,25027,-37.65885895
Alcona County,26001,-21.40624539
Alger County,26003,-16.52500695
Allegan County,26005,-33.19310504
Alpena County,26007,-22.47305516
Antrim County,26009,-27.07264369
Arenac County,26011,-26.41774351
Baraga County,26013,6.115930911
Barry County,26015,-29.21272461
Bay County,26017,-8.14150545
Benzie County,26019,-27.12248791
Berrien County,26021,-38.95245931
Branch County,26023,-23.9881778
Calhoun County,26025,-20.70378691
Cass County,26027,-40.71038335
Charlevoix County,26029,-29.83978478
Cheboygan County,26031,-34.67773618
Chippewa County,26033,-32.3859064
Clare County,26035,-29.92321497
Clinton County,26037,-30.36883151
Crawford County,26039,-19.91613426
Delta County,26041,-31.5501717
Dickinson County,26043,-11.94285074
Eaton County,26045,-10.47115851
Emmet County,26047,-41.74570803
Genesee County,26049,3.051867068
Gladwin County,26051,-23.6940609
Gogebic County,26053,-4.342248327
Grand Traverse County,26055,-23.78526916
Gratiot County,26057,-17.54805105
Hillsdale County,26059,-33.67350324
Houghton County,26061,-23.01390981
Huron County,26063,-26.60004292
Ingham County,26065,-3.040888068
Ionia County,26067,-27.06872497
Iosco County,26069,-23.19951107
Iron County,26071,-16.5508801
Isabella County,26073,-43.04618514
Jackson County,26075,-26.96515608
Kalamazoo County,26077,-10.21830703
Kalkaska County,26079,-12.0094931
Kent County,26081,-37.86893741
Keweenaw County,26083,-40.36893378
Lake County,26085,-34.20714978
Lapeer County,26087,-21.48659769
Leelanau County,26089,-30.28399723
Lenawee County,26091,-34.01155724
Livingston County,26093,-29.96140684
Luce County,26095,-11.64168529
Mackinac County,26097,-25.91557826
Macomb County,26099,-12.42744844
Manistee County,26101,-17.56004081
Marquette County,26103,-22.22095665
Mason County,26105,-11.5436693
Mecosta County,26107,-39.50097057
Menominee County,26109,-27.18377259
Midland County,26111,-28.44929129
Missaukee County,26113,-19.80958856
Monroe County,26115,-47.31194671
Montcalm County,26117,-18.83745455
Montmorency County,26119,-23.6140555
Muskegon County,26121,-28.37598662
Newaygo County,26123,-24.83389096
Oakland County,26125,-27.68762161
Oceana County,26127,-18.89188076
Ogemaw County,26129,-17.96717202
Ontonagon County,26131,-14.03465353
Osceola County,26133,-31.28445288
Oscoda County,26135,-11.75105057
Otsego County,26137,-22.5788004
Ottawa County,26139,-19.70708417
Presque Isle County,26141,-33.35977252
Roscommon County,26143,-15.93496702
Saginaw County,26145,2.386255055
Saint Clair County,26147,-18.59995015
Saint Joseph County,26149,-28.71420647
Sanilac County,26151,-13.55687759
Schoolcraft County,26153,-26.33826324
Shiawassee County,26155,-15.6607129
Tuscola County,26157,-16.67626204
Van Buren County,26159,-43.39302818
Washtenaw County,26161,-44.77499059
Wayne County,26163,-29.09341153
Wexford County,26165,-14.71036238
Aitkin County,27001,-13.38150945
Anoka County,27003,-5.430992132
Becker County,27005,0.594420837
Beltrami County,27007,33.14761378
Benton County,27009,-8.69749624
Big Stone County,27011,-6.860817454
Blue Earth County,27013,-11.20855383
Brown County,27015,-19.06336704
Carlton County,27017,-11.13816429
Carver County,27019,-22.32337663
Cass County,27021,15.09361715
Chippewa County,27023,0.928113725
Chisago County,27025,-30.47517563
Clay County,27027,-4.353424084
Clearwater County,27029,10.70809617
Cook County,27031,-20.91289958
Cottonwood County,27033,-6.87581923
Crow Wing County,27035,-17.72670802
Dakota County,27037,-9.236438871
Dodge County,27039,-24.63155937
Douglas County,27041,-4.715387302
Faribault County,27043,-12.50975921
Fillmore County,27045,-32.72579831
Freeborn County,27047,-8.332647893
Goodhue County,27049,-17.40572952
Grant County,27051,-6.793650846
Hennepin County,27053,-18.1386673
Houston County,27055,-32.56486966
Hubbard County,27057,21.39472835
Isanti County,27059,-25.51448215
Itasca County,27061,9.626255289
Jackson County,27063,-14.53874287
Kanabec County,27065,-23.93394609
Kandiyohi County,27067,-1.100623328
Kittson County,27069,-8.226620313
Koochiching County,27071,-0.770629155
Lac qui Parle County,27073,-24.64972087
Lake County,27075,-19.65067482
Lake of the Woods County,27077,-10.25806256
Le Sueur County,27079,-16.29964965
Lincoln County,27081,-25.96563382
Lyon County,27083,-10.70165762
McLeod County,27085,-20.61687402
Mahnomen County,27087,36.05601722
Marshall County,27089,-27.13282265
Martin County,27091,-4.581803463
Meeker County,27093,-19.75283014
Mille Lacs County,27095,-7.326210068
Morrison County,27097,-3.27029891
Mower County,27099,-5.483641285
Murray County,27101,-16.76517604
Nicollet County,27103,-18.55894319
Nobles County,27105,8.786580063
Norman County,27107,-14.57735604
Olmsted County,27109,-4.257672159
Otter Tail County,27111,1.298023478
Pennington County,27113,-3.128097378
Pine County,27115,-20.65387823
Pipestone County,27117,-19.03071383
Polk County,27119,2.954947849
Pope County,27121,-1.786375415
Ramsey County,27123,2.190806667
Red Lake County,27125,-16.66188087
Redwood County,27127,14.20953691
Renville County,27129,-9.648008986
Rice County,27131,-16.2446049
Rock County,27133,-11.13437105
Roseau County,27135,-12.8921663
Saint Louis County,27137,-11.00483786
Scott County,27139,-13.2711795
Sherburne County,27141,-23.78163769
Sibley County,27143,-26.37604896
Stearns County,27145,10.1307015
Steele County,27147,-22.53062846
Stevens County,27149,-1.723829842
Swift County,27151,-17.48278822
Todd County,27153,7.979139633
Traverse County,27155,-9.091287196
Wabasha County,27157,-31.8069433
Wadena County,27159,-1.016232751
Waseca County,27161,-12.2677229
Washington County,27163,-21.46978582
Watonwan County,27165,5.440877864
Wilkin County,27167,-4.607526226
Winona County,27169,-27.455741
Wright County,27171,-24.1902147
Yellow Medicine County,27173,-15.56746029
Adams County,28001,-18.52421994
Alcorn County,28003,-33.66299791
Amite County,28005,-29.60767281
Attala County,28007,-22.00585024
Benton County,28009,-32.62543653
Bolivar County,28011,-27.67674121
Calhoun County,28013,-32.99479894
Carroll County,28015,-54.33246683
Chickasaw County,28017,-27.61799675
Choctaw County,28019,-37.19939052
Claiborne County,28021,-13.44516238
Clarke County,28023,-45.79913976
Clay County,28025,-27.83620614
Coahoma County,28027,11.97266556
Copiah County,28029,-35.07261096
Covington County,28031,-12.93927752
DeSoto County,28033,-40.02067519
Forrest County,28035,-15.40756486
Franklin County,28037,-41.08196259
George County,28039,-15.17354957
Greene County,28041,-16.9325843
Grenada County,28043,5.37812604
Hancock County,28045,-41.02364968
Harrison County,28047,-30.72568597
Hinds County,28049,9.028979774
Holmes County,28051,-20.13139745
Humphreys County,28053,-27.31914879
Issaquena County,28055,-22.55963461
Itawamba County,28057,-32.83664026
Jackson County,28059,-28.7145228
Jasper County,28061,-31.90963086
Jefferson County,28063,-43.87336658
Jefferson Davis County,28065,-7.281748766
Jones County,28067,-16.75669952
Kemper County,28069,-40.2934239
Lafayette County,28071,-46.73344943
Lamar County,28073,-13.99339111
Lauderdale County,28075,-25.56223551
Lawrence County,28077,-27.03958712
Leake County,28079,-23.85454742
Lee County,28081,-41.5833625
Leflore County,28083,-21.33822191
Lincoln County,28085,-34.3111407
Lowndes County,28087,-21.02188425
Madison County,28089,-50.60846694
Marion County,28091,-3.15434073
Marshall County,28093,-43.87334573
Monroe County,28095,-26.93228771
Montgomery County,28097,-18.96669407
Neshoba County,28099,-28.17363908
Newton County,28101,-26.19602692
Noxubee County,28103,-35.2283952
Oktibbeha County,28105,-45.51880465
Panola County,28107,-28.8688327
Pearl River County,28109,-34.06297311
Perry County,28111,-22.06179792
Pike County,28113,-24.23900654
Pontotoc County,28115,-56.18214115
Prentiss County,28117,-37.18439819
Quitman County,28119,-7.108684671
Rankin County,28121,-42.26971296
Scott County,28123,-11.53282425
Sharkey County,28125,-43.21405604
Simpson County,28127,-28.7414554
Smith County,28129,-27.62846971
Stone County,28131,-39.90831628
Sunflower County,28133,-21.82896546
Tallahatchie County,28135,-35.71423179
Tate County,28137,-41.20474454
Tippah County,28139,-25.9402047
Tishomingo County,28141,-42.18511613
Tunica County,28143,-27.64522071
Union County,28145,-41.29848579
Walthall County,28147,-17.43701226
Warren County,28149,-15.53991316
Washington County,28151,0.111223547
Wayne County,28153,-8.839292082
Webster County,28155,-30.52297871
Wilkinson County,28157,-9.085550798
Winston County,28159,-36.2974548
Yalobusha County,28161,-18.84406018
Yazoo County,28163,-30.93577306
Adair County,29001,-13.5621305
Andrew County,29003,-28.55904102
Atchison County,29005,-22.98336205
Audrain County,29007,-26.68128747
Barry County,29009,-21.85666949
Barton County,29011,-13.83081484
Bates County,29013,-31.1088883
Benton County,29015,-24.95955929
Bollinger County,29017,-35.10426418
Boone County,29019,-19.76936853
Buchanan County,29021,-35.68328317
Butler County,29023,-34.13293235
Caldwell County,29025,-36.8293187
Callaway County,29027,-25.17805286
Camden County,29029,-19.0393137
Cape Girardeau County,29031,-15.41777685
Carroll County,29033,-41.07732549
Carter County,29035,-18.64744691
Cass County,29037,-15.08539081
Cedar County,29039,-15.79126931
Chariton County,29041,-45.36223123
Christian County,29043,-30.63454022
Clark County,29045,-20.34900997
Clay County,29047,-9.016164211
Clinton County,29049,-28.30014056
Cole County,29051,-19.37493762
Cooper County,29053,-34.6738241
Crawford County,29055,-33.26471855
Dade County,29057,-10.08751424
Dallas County,29059,-18.09404126
Daviess County,29061,-34.66969848
DeKalb County,29063,-11.14388406
Dent County,29065,-18.82778896
Douglas County,29067,-23.4169568
Dunklin County,29069,-19.51700879
Franklin County,29071,-32.45244671
Gasconade County,29073,-31.98935545
Gentry County,29075,-29.8168046
Greene County,29077,-5.22652946
Grundy County,29079,-24.42327021
Harrison County,29081,-18.14965496
Henry County,29083,-27.69112368
Hickory County,29085,-25.35233427
Holt County,29087,-30.19716903
Howard County,29089,-41.9247725
Howell County,29091,-4.287394984
Iron County,29093,-16.01805903
Jackson County,29095,-32.33915784
Jasper County,29097,4.924301016
Jefferson County,29099,-30.49128068
Johnson County,29101,-36.53007259
Knox County,29103,-4.956377522
Laclede County,29105,-19.69949772
Lafayette County,29107,-43.4590803
Lawrence County,29109,-16.97403689
Lewis County,29111,-18.53199254
Lincoln County,29113,-35.16361413
Linn County,29115,-25.49138181
Livingston County,29117,-33.00965776
McDonald County,29119,6.535891533
Macon County,29121,-20.66338349
Madison County,29123,-20.99127439
Maries County,29125,-29.35877786
Marion County,29127,-30.5046498
Mercer County,29129,-20.42582185
Miller County,29131,-23.75848483
Mississippi County,29133,-17.24325962
Moniteau County,29135,-19.03937195
Monroe County,29137,-34.69882495
Montgomery County,29139,-40.36451175
Morgan County,29141,-13.38071599
New Madrid County,29143,-41.94128796
Newton County,29145,2.935664779
Nodaway County,29147,-25.81740335
Oregon County,29149,-29.67137274
Osage County,29151,-44.25629144
Ozark County,29153,-11.4582163
Pemiscot County,29155,-49.69277363
Perry County,29157,-42.14253465
Pettis County,29159,-37.62252092
Phelps County,29161,-22.8533778
Pike County,29163,-37.60006536
Platte County,29165,-19.30991818
Polk County,29167,-7.76389288
Pulaski County,29169,11.60436898
Putnam County,29171,-20.74835347
Ralls County,29173,-28.11445091
Randolph County,29175,-20.2260439
Ray County,29177,-41.27168655
Reynolds County,29179,-10.40187381
Ripley County,29181,-36.05637693
Saint Charles County,29183,-36.05849942
Saint Clair County,29185,-26.154348
Sainte Genevieve County,29186,-30.07906742
Saint Francois County,29187,-9.554238877
Saint Louis County,29189,8.314254571
Saline County,29195,-38.31384339
Schuyler County,29197,-12.93408795
Scotland County,29199,-18.42156705
Scott County,29201,-26.76286279
Shannon County,29203,-1.267108736
Shelby County,29205,-37.0412453
Stoddard County,29207,-46.31515289
Stone County,29209,-19.62282979
Sullivan County,29211,-11.99427293
Taney County,29213,-15.67931498
Texas County,29215,-13.65740374
Vernon County,29217,-12.90711082
Warren County,29219,-26.88563739
Washington County,29221,-27.71625775
Wayne County,29223,-25.33131651
Webster County,29225,-25.25132703
Worth County,29227,-30.05334644
Wright County,29229,-20.54386122
Saint Louis City,29510,-42.9139334
Beaverhead County,30001,-41.51158398
Big Horn County,30003,-10.94429778
Blaine County,30005,-18.91072717
Broadwater County,30007,-32.39729294
Carbon County,30009,-29.25454505
Carter County,30011,-34.86311113
Cascade County,30013,-6.907693111
Chouteau County,30015,-4.123067611
Custer County,30017,-25.98734964
Daniels County,30019,-17.50742825
Dawson County,30021,-11.67853613
Deer Lodge County,30023,-31.97853027
Fallon County,30025,-32.97550708
Fergus County,30027,-27.70844861
Flathead County,30029,-19.34374733
Gallatin County,30031,-40.70864387
Garfield County,30033,-29.52494462
Glacier County,30035,-37.22507755
Golden Valley County,30037,-14.12439102
Granite County,30039,-41.52151961
Hill County,30041,-27.37666133
Jefferson County,30043,-37.37336311
Judith Basin County,30045,-22.52002688
Lake County,30047,3.711002278
Lewis and Clark County,30049,-24.66679575
Liberty County,30051,-36.9580022
Lincoln County,30053,-14.57334075
McCone County,30055,-24.97192537
Madison County,30057,-43.04836537
Meagher County,30059,-25.90775193
Mineral County,30061,-7.033637538
Missoula County,30063,-38.59783787
Musselshell County,30065,-16.66162229
Park County,30067,-27.29004903
Petroleum County,30069,-29.0119089
Phillips County,30071,-36.97805079
Pondera County,30073,-30.43593245
Powder River County,30075,-31.52394633
Powell County,30077,-16.41134609
Prairie County,30079,-28.88733874
Ravalli County,30081,-28.54010424
Richland County,30083,-18.7666438
Roosevelt County,30085,44.23271234
Rosebud County,30087,-8.289746713
Sanders County,30089,-21.27771825
Sheridan County,30091,5.694886973
Silver Bow County,30093,-47.58338315
Stillwater County,30095,-19.44194822
Sweet Grass County,30097,-30.76049348
Teton County,30099,-36.47366407
Toole County,30101,-29.50628469
Treasure County,30103,-25.70009995
Valley County,30105,-27.0862239
Wheatland County,30107,-18.57982846
Wibaux County,30109,-27.15546526
Yellowstone County,30111,-6.95331434
Adams County,31001,-18.072049
Antelope County,31003,-32.53377524
Arthur County,31005,-20.3008984
Banner County,31007,-17.66532487
Blaine County,31009,-27.66728654
Boone County,31011,-39.16109585
Box Butte County,31013,-3.747078568
Boyd County,31015,-34.86822883
Brown County,31017,-29.22394731
Buffalo County,31019,-30.45981654
Burt County,31021,-9.127053021
Butler County,31023,-24.73015757
Cass County,31025,-15.72366964
Cedar County,31027,-32.47583327
Chase County,31029,-18.9377017
Cherry County,31031,-19.48917551
Cheyenne County,31033,-14.78162506
Clay County,31035,-23.26883146
Colfax County,31037,8.315341873
Cuming County,31039,-22.18383883
