Location,FIPS Code,Percent Change in Mortality Risk
Norman County,27107,7.300681013
Olmsted County,27109,5.363034626
Otter Tail County,27111,5.750232474
Pennington County,27113,5.348796955
Pine County,27115,5.501981352
Pipestone County,27117,5.635339408
Polk County,27119,5.291420238
Pope County,27121,4.721523451
Ramsey County,27123,7.997882911
Red Lake County,27125,7.07549316
Redwood County,27127,4.904070491
Renville County,27129,6.520322554
Rice County,27131,4.908272735
Rock County,27133,4.225977539
Roseau County,27135,9.172404831
Saint Louis County,27137,4.958473753
Scott County,27139,7.124178204
Sherburne County,27141,7.035624895
Sibley County,27143,6.46900407
Stearns County,27145,5.852461667
Steele County,27147,5.437044918
Stevens County,27149,5.853762074
Swift County,27151,5.455054498
Todd County,27153,5.95385288
Traverse County,27155,5.362803264
Wabasha County,27157,6.889891664
Wadena County,27159,6.918617097
Waseca County,27161,7.255701074
Washington County,27163,5.681365194
Watonwan County,27165,6.168048285
Wilkin County,27167,4.891092401
Winona County,27169,6.530748384
Wright County,27171,5.618979635
Yellow Medicine County,27173,5.142355905
Adams County,28001,6.835693599
Alcorn County,28003,6.824636425
Amite County,28005,6.437372445
Attala County,28007,7.303827097
Benton County,28009,6.610127389
Bolivar County,28011,4.834110908
Calhoun County,28013,4.903646858
Carroll County,28015,5.923974978
Chickasaw County,28017,4.026897834
Choctaw County,28019,8.261418533
Claiborne County,28021,5.424959545
Clarke County,28023,5.828708387
Clay County,28025,4.724230058
Coahoma County,28027,5.961339834
Copiah County,28029,5.887245985
Covington County,28031,5.320158215
DeSoto County,28033,5.930201876
Forrest County,28035,4.530100554
Franklin County,28037,4.915080373
George County,28039,6.166777948
Greene County,28041,5.130916207
Grenada County,28043,5.681037883
Hancock County,28045,6.451141608
Harrison County,28047,4.967358311
Hinds County,28049,4.405621672
Holmes County,28051,6.134439353
Humphreys County,28053,6.032893932
Issaquena County,28055,5.365256174
Itawamba County,28057,4.627040148
Jackson County,28059,4.327397291
Jasper County,28061,5.93702498
Jefferson County,28063,1.776152213
Jefferson Davis County,28065,7.498122201
Jones County,28067,6.571112053
Kemper County,28069,7.344469104
Lafayette County,28071,8.075514676
Lamar County,28073,5.023021567
Lauderdale County,28075,5.904496008
Lawrence County,28077,5.96669423
Leake County,28079,7.219501716
Lee County,28081,6.818566132
Leflore County,28083,6.150911726
Lincoln County,28085,5.418658848
Lowndes County,28087,7.579518206
Madison County,28089,5.531731992
Marion County,28091,5.991205801
Marshall County,28093,7.693208779
Monroe County,28095,5.926181709
Montgomery County,28097,3.191086809
Neshoba County,28099,5.992324773
Newton County,28101,6.710701429
Noxubee County,28103,5.491099693
Oktibbeha County,28105,5.121571495
Panola County,28107,0.712445898
Pearl River County,28109,5.41922295
Perry County,28111,1.939361315
Pike County,28113,1.989803192
Pontotoc County,28115,3.351890276
Prentiss County,28117,2.685414673
Quitman County,28119,3.902675429
Rankin County,28121,4.757067287
Scott County,28123,4.920398197
Sharkey County,28125,2.948183493
Simpson County,28127,4.113253178
Smith County,28129,4.204585606
Stone County,28131,3.113116323
Sunflower County,28133,4.743602307
Tallahatchie County,28135,2.526121798
Tate County,28137,6.304560657
Tippah County,28139,5.430236022
Tishomingo County,28141,4.72103977
Tunica County,28143,1.631494449
Union County,28145,4.921724879
Walthall County,28147,2.762879418
Warren County,28149,6.046551281
Washington County,28151,4.292065224
Wayne County,28153,5.491231339
Webster County,28155,2.29654155
Wilkinson County,28157,4.42946726
Winston County,28159,3.671914585
Yalobusha County,28161,1.696888847
Yazoo County,28163,3.36611529
Adair County,29001,4.450399088
Andrew County,29003,4.699980167
Atchison County,29005,4.112338612
Audrain County,29007,3.845220858
Barry County,29009,6.244541723
Barton County,29011,2.657047823
Bates County,29013,5.92553412
Benton County,29015,4.43476645
Bollinger County,29017,3.593630722
Boone County,29019,2.377884785
Buchanan County,29021,3.031322223
Butler County,29023,4.336487006
Caldwell County,29025,2.843416479
Callaway County,29027,4.509196253
Camden County,29029,1.439201915
Cape Girardeau County,29031,2.468996671
Carroll County,29033,3.789109987
Carter County,29035,5.87295848
Cass County,29037,3.54224583
Cedar County,29039,1.576473376
Chariton County,29041,3.031046754
Christian County,29043,5.743470809
Clark County,29045,6.15119589
Clay County,29047,3.417015713
Clinton County,29049,5.228772094
Cole County,29051,3.773197849
Cooper County,29053,4.381304068
Crawford County,29055,5.008976567
Dade County,29057,3.16379459
Dallas County,29059,2.79135507
Daviess County,29061,8.694729082
DeKalb County,29063,4.792447616
Dent County,29065,6.71215338
Douglas County,29067,5.117545183
Dunklin County,29069,3.531086085
Franklin County,29071,5.228752077
Gasconade County,29073,1.681386856
Gentry County,29075,6.097409371
Greene County,29077,4.002865694
Grundy County,29079,2.198674213
Harrison County,29081,2.037699121
Henry County,29083,4.224181475
Hickory County,29085,3.851754375
Holt County,29087,4.787285776
Howard County,29089,3.744750917
Howell County,29091,3.209610448
Iron County,29093,4.051373015
Jackson County,29095,-0.253107491
Jasper County,29097,4.258283562
Jefferson County,29099,4.818315829
Johnson County,29101,2.84611466
Knox County,29103,4.945962775
Laclede County,29105,3.943316209
Lafayette County,29107,3.998424337
Lawrence County,29109,4.38870913
Lewis County,29111,2.901930158
Lincoln County,29113,4.282713874
Linn County,29115,5.02726539
Livingston County,29117,4.633236987
McDonald County,29119,4.991971703
Macon County,29121,4.302429707
Madison County,29123,6.085525522
Maries County,29125,4.419351627
Marion County,29127,3.416617256
Mercer County,29129,4.596158425
Miller County,29131,4.282357534
Mississippi County,29133,5.376427894
Moniteau County,29135,3.907033241
Monroe County,29137,4.419056006
Montgomery County,29139,3.216219698
Morgan County,29141,4.977366865
New Madrid County,29143,3.795415754
Newton County,29145,6.15802864
Nodaway County,29147,5.631572495
Oregon County,29149,4.252061911
Osage County,29151,5.978841197
Ozark County,29153,2.894054502
Pemiscot County,29155,4.578421743
Perry County,29157,4.325304907
Pettis County,29159,2.642524356
Phelps County,29161,3.442023986
Pike County,29163,4.568808639
Platte County,29165,4.96520093
Polk County,29167,4.684901529
Pulaski County,29169,3.411618792
Putnam County,29171,3.856122457
Ralls County,29173,1.172328792
Randolph County,29175,5.168357919
Ray County,29177,4.273986498
Reynolds County,29179,4.123863186
Ripley County,29181,4.711000218
Saint Charles County,29183,5.357163969
Saint Clair County,29185,5.52567751
Sainte Genevieve County,29186,3.845350698
Saint Francois County,29187,4.207305749
Saint Louis County,29189,5.73490203
Saline County,29195,4.937334197
Schuyler County,29197,3.071902435
Scotland County,29199,0.798906338
Scott County,29201,6.971468348
Shannon County,29203,3.673937449
Shelby County,29205,3.285368361
Stoddard County,29207,3.808962545
Stone County,29209,3.960775617
Sullivan County,29211,3.592277453
Taney County,29213,4.698806597
Texas County,29215,3.21134448
Vernon County,29217,3.803758909
Warren County,29219,5.150112404
Washington County,29221,3.90183111
Wayne County,29223,4.351292929
Webster County,29225,3.146124923
Worth County,29227,4.091793245
Wright County,29229,2.160688356
Saint Louis City,29510,5.101337385
Beaverhead County,30001,4.020859276
Big Horn County,30003,5.531968595
Blaine County,30005,3.674917266
Broadwater County,30007,3.940827348
Carbon County,30009,5.325627545
Carter County,30011,4.41563931
Cascade County,30013,3.896047103
Chouteau County,30015,3.157533829
Custer County,30017,4.6544655
Daniels County,30019,3.612691732
Dawson County,30021,4.95748811
Deer Lodge County,30023,4.375292309
Fallon County,30025,5.425212964
Fergus County,30027,2.941855938
Flathead County,30029,3.481365715
Gallatin County,30031,4.325642295
Garfield County,30033,6.304698633
Glacier County,30035,5.624859216
Golden Valley County,30037,4.83484172
Granite County,30039,6.687328092
Hill County,30041,3.3442935
Jefferson County,30043,4.188037273
Judith Basin County,30045,4.718089013
Lake County,30047,4.976233277
Lewis and Clark County,30049,2.465178447
Liberty County,30051,3.956374494
Lincoln County,30053,4.199650706
McCone County,30055,3.469688806
Madison County,30057,6.862108496
Meagher County,30059,3.826453607
Mineral County,30061,3.862178983
Missoula County,30063,2.872735472
Musselshell County,30065,6.286141475
Park County,30067,4.706002115
Petroleum County,30069,4.785694542
Phillips County,30071,4.923981042
Pondera County,30073,4.108847888
Powder River County,30075,3.733698692
Powell County,30077,4.416828707
Prairie County,30079,4.7665656
Ravalli County,30081,4.861973152
Richland County,30083,3.494052029
Roosevelt County,30085,4.809070692
Rosebud County,30087,4.829331713
Sanders County,30089,3.494972774
Sheridan County,30091,5.861506127
Silver Bow County,30093,2.704883073
Stillwater County,30095,2.702298176
Sweet Grass County,30097,4.89328777
Teton County,30099,5.017526572
Toole County,30101,3.661684652
Treasure County,30103,8.819829705
Valley County,30105,9.177196587
Wheatland County,30107,5.907343928
Wibaux County,30109,5.800231431
Yellowstone County,30111,7.227973901
Adams County,31001,8.437994793
Antelope County,31003,6.453561754
Arthur County,31005,5.773227272
Banner County,31007,5.971380721
Blaine County,31009,5.301914778
Boone County,31011,6.312367078
Box Butte County,31013,3.342722573
Boyd County,31015,7.65260866
Brown County,31017,5.166064673
Buffalo County,31019,6.02245081
Burt County,31021,5.882894116
Butler County,31023,6.578746648
Cass County,31025,6.356683968
Cedar County,31027,6.057355423
Chase County,31029,6.355005193
Cherry County,31031,9.35149877
Cheyenne County,31033,3.995499139
Clay County,31035,7.822419145
Colfax County,31037,6.225479045
Cuming County,31039,6.754915057
Custer County,31041,6.290746704
Dakota County,31043,8.49873646
Dawes County,31045,5.416648111
Dawson County,31047,6.11164144
Deuel County,31049,8.776103352
Dixon County,31051,7.053027478
Dodge County,31053,6.29015586
Douglas County,31055,5.625601935
Dundy County,31057,4.252156436
Fillmore County,31059,7.210054685
Franklin County,31061,6.309660537
Frontier County,31063,7.305985963
Furnas County,31065,6.49263943
Gage County,31067,6.522798659
Garden County,31069,6.394505645
Garfield County,31071,4.844772763
Gosper County,31073,6.381227327
Grant County,31075,3.845211412
Greeley County,31077,1.832127965
Hall County,31079,5.55922056
Hamilton County,31081,6.548697198
Harlan County,31083,1.735658957
Hayes County,31085,7.293734986
Hitchcock County,31087,7.109911545
Holt County,31089,7.895113715
Hooker County,31091,6.64580369
Howard County,31093,5.341172392
Jefferson County,31095,6.121601668
Johnson County,31097,6.88884829
Kearney County,31099,7.344058084
Keith County,31101,4.892447744
Keya Paha County,31103,4.589443571
Kimball County,31105,4.722466815
Knox County,31107,6.556472876
Lancaster County,31109,7.099143522
Lincoln County,31111,7.388151963
Logan County,31113,6.847693571
Loup County,31115,6.565253729
McPherson County,31117,4.783849764
Madison County,31119,6.48624045
Merrick County,31121,6.742497645
Morrill County,31123,5.360050367
Nance County,31125,5.175932997
Nemaha County,31127,5.642005212
Nuckolls County,31129,5.252112351
Otoe County,31131,7.342717274
Pawnee County,31133,5.294249304
Perkins County,31135,6.610887496
Phelps County,31137,7.061974625
Pierce County,31139,4.263817989
Platte County,31141,5.18524598
Polk County,31143,5.601493217
Red Willow County,31145,4.892872327
Richardson County,31147,6.021190426
Rock County,31149,6.678581575
Saline County,31151,5.279787535
Sarpy County,31153,7.008653073
Saunders County,31155,5.255118982
Scotts Bluff County,31157,4.335402079
Seward County,31159,6.306742961
Sheridan County,31161,5.654207342
Sherman County,31163,4.689803844
Sioux County,31165,4.661627617
Stanton County,31167,6.738653254
Thayer County,31169,4.354674815
Thomas County,31171,5.122650505
Thurston County,31173,6.729906546
Valley County,31175,5.920777341
Washington County,31177,5.726722455
Wayne County,31179,7.195642975
Webster County,31181,7.736802762
Wheeler County,31183,5.610903949
York County,31185,5.216350355
Churchill County,32001,4.362659895
Clark County,32003,6.211935162
Douglas County,32005,4.6845113
Elko County,32007,6.035486245
Esmeralda County,32009,7.110396393
Eureka County,32011,6.473989434
Humboldt County,32013,2.853339965
Lander County,32015,5.015715722
Lincoln County,32017,4.014056668
Lyon County,32019,6.798439419
Mineral County,32021,6.750620285
Nye County,32023,5.293882652
Pershing County,32027,5.860341825
Storey County,32029,5.121645106
Washoe County,32031,5.711847482
White Pine County,32033,6.434218635
Carson City,32510,6.559323867
Belknap County,33001,7.772393028
Carroll County,33003,4.761584744
Cheshire County,33005,4.661525469
Coos County,33007,5.486366797
Grafton County,33009,6.319235166
Hillsborough County,33011,4.940466231
Merrimack County,33013,4.343505968
Rockingham County,33015,5.271536289
Strafford County,33017,5.260741258
Sullivan County,33019,6.693268799
Atlantic County,34001,4.858471183
Bergen County,34003,5.789274705
Burlington County,34005,6.102273534
Camden County,34007,5.387003119
Cape May County,34009,5.316508307
Cumberland County,34011,4.909945545
Essex County,34013,5.788220084
Gloucester County,34015,3.364444942
Hudson County,34017,6.589810494
Hunterdon County,34019,5.424970537
Mercer County,34021,4.849036076
Middlesex County,34023,4.257861637
Monmouth County,34025,6.038836032
Morris County,34027,6.567530528
Ocean County,34029,8.126177482
Passaic County,34031,6.265812086
Salem County,34033,4.258170454
Somerset County,34035,7.281854409
Sussex County,34037,4.969728954
Union County,34039,5.649973537
Warren County,34041,5.490296926
Bernalillo County,35001,6.648479718
Catron County,35003,4.005992364
Chaves County,35005,6.620692968
Cibola County,35006,4.611457593
Colfax County,35007,5.521658677
Curry County,35009,8.248107095
De Baca County,35011,7.514654502
Dona Ana County,35013,8.201091913
Eddy County,35015,5.463831446
Grant County,35017,7.395724704
Guadalupe County,35019,6.888955435
Harding County,35021,6.608843571
Hidalgo County,35023,5.571349883
Lea County,35025,6.058112597
Lincoln County,35027,5.518014721
Los Alamos County,35028,2.157663536
Luna County,35029,7.743034595
McKinley County,35031,7.555285077
Mora County,35033,6.443525639
Otero County,35035,6.898616361
Quay County,35037,5.0532991
Rio Arriba County,35039,7.213061962
Roosevelt County,35041,8.311207264
Sandoval County,35043,6.35100747
San Juan County,35045,5.801390467
San Miguel County,35047,7.77897337
Santa Fe County,35049,6.963139882
Sierra County,35051,6.236581868
Socorro County,35053,7.371522218
Taos County,35055,6.221183485
Torrance County,35057,6.451925275
Union County,35059,8.698220567
Valencia County,35061,9.555552802
Albany County,36001,7.237945994
Allegany County,36003,8.187730799
Bronx County,36005,7.21647783
Broome County,36007,6.083439624
Cattaraugus County,36009,10.7576384
Cayuga County,36011,6.913760012
Chautauqua County,36013,12.31601654
Chemung County,36015,8.912865525
Chenango County,36017,8.755457807
Clinton County,36019,9.724092003
Columbia County,36021,8.115710134
Cortland County,36023,8.002234692
Delaware County,36025,6.192826865
Dutchess County,36027,8.396322683
Erie County,36029,5.715354294
Essex County,36031,8.314222417
Franklin County,36033,6.906843588
Fulton County,36035,8.823608611
Genesee County,36037,8.281152875
Greene County,36039,5.935978629
Hamilton County,36041,7.480462435
Herkimer County,36043,4.368483601
Jefferson County,36045,4.99977746
Kings County,36047,3.827745138
Lewis County,36049,3.735064437
Livingston County,36051,4.792331595
Madison County,36053,5.280866266
Monroe County,36055,2.79040572
Montgomery County,36057,5.506484921
Nassau County,36059,5.877467311
New York County,36061,6.313184635
Niagara County,36063,5.980995245
Oneida County,36065,3.719687647
Onondaga County,36067,7.158596572
Ontario County,36069,7.385027493
Orange County,36071,5.691113953
Orleans County,36073,6.315540433
Oswego County,36075,6.184778635
Otsego County,36077,5.543241836
Putnam County,36079,4.203075107
Queens County,36081,4.964304309
Rensselaer County,36083,4.081637918
Richmond County,36085,6.667721021
Rockland County,36087,5.095184761
Saint Lawrence County,36089,4.156736247
Saratoga County,36091,7.811886057
Schenectady County,36093,3.768178732
Schoharie County,36095,4.126465999
Schuyler County,36097,7.359047699
Seneca County,36099,4.166238792
Steuben County,36101,5.174231254
Suffolk County,36103,4.99977746
Sullivan County,36105,8.040597803
Tioga County,36107,5.343632705
Tompkins County,36109,12.34948248
Ulster County,36111,6.504847804
Warren County,36113,6.490393438
Washington County,36115,7.346935466
Wayne County,36117,6.018346717
Westchester County,36119,5.897044801
Wyoming County,36121,5.6438576
Yates County,36123,6.485042372
Alamance County,37001,6.943101346
Alexander County,37003,6.415439454
Alleghany County,37005,7.536505273
Anson County,37007,7.946346474
Ashe County,37009,7.395457583
Avery County,37011,8.799913088
Beaufort County,37013,8.834101409
Bertie County,37015,5.636563172
Bladen County,37017,5.590515597
Brunswick County,37019,6.487610828
Buncombe County,37021,8.924381724
Burke County,37023,7.066928181
Cabarrus County,37025,8.027830145
Caldwell County,37027,13.19972752
Camden County,37029,7.717709855
Carteret County,37031,7.095968997
Caswell County,37033,7.316522738
Catawba County,37035,6.778172447
Chatham County,37037,5.814267271
Cherokee County,37039,10.60674224
Chowan County,37041,15.22674992
Clay County,37043,6.194828224
Cleveland County,37045,6.540700548
Columbus County,37047,7.419148398
Craven County,37049,6.45456601
Cumberland County,37051,9.205836876
Currituck County,37053,6.066974809
Dare County,37055,6.440581213
Davidson County,37057,6.633502756
Davie County,37059,9.828664709
Duplin County,37061,10.93556695
Durham County,37063,6.832353812
Edgecombe County,37065,10.39182819
Forsyth County,37067,10.5424605
Franklin County,37069,6.84685286
Gaston County,37071,9.046655116
Gates County,37073,6.97147877
Graham County,37075,8.55474486
Granville County,37077,5.675369891
Greene County,37079,5.332678677
Guilford County,37081,5.836648935
Halifax County,37083,8.757206475
Harnett County,37085,8.303975892
Haywood County,37087,6.849625565
Henderson County,37089,6.961509501
Hertford County,37091,9.019373967
Hoke County,37093,7.867171241
Hyde County,37095,7.278598902
Iredell County,37097,7.083515723
Jackson County,37099,9.583989005
Johnston County,37101,6.060864331
Jones County,37103,5.636729476
Lee County,37105,5.841226506
Lenoir County,37107,4.668148829
Lincoln County,37109,4.814439007
McDowell County,37111,5.280855967
Macon County,37113,3.97478398
Madison County,37115,4.624552547
Martin County,37117,7.636314694
Mecklenburg County,37119,8.614785169
Mitchell County,37121,6.046371964
Montgomery County,37123,8.189063029
Moore County,37125,6.636919833
Nash County,37127,3.284349495
New Hanover County,37129,6.198803143
Northampton County,37131,2.579408596
Onslow County,37133,9.81827384
Orange County,37135,6.378372045
Pamlico County,37137,5.070835975
Pasquotank County,37139,4.048536235
Pender County,37141,10.46574524
Perquimans County,37143,2.079256581
Person County,37145,7.945673103
Pitt County,37147,3.567477505
Polk County,37149,2.788533981
Randolph County,37151,4.978661417
Richmond County,37153,6.152289073
Robeson County,37155,6.662978707
Rockingham County,37157,7.887759501
Rowan County,37159,6.998477264
Rutherford County,37161,3.013120445
Sampson County,37163,5.695818692
Scotland County,37165,9.324013787
Stanly County,37167,9.4688956
Stokes County,37169,7.318240319
Surry County,37171,6.803035567
Swain County,37173,8.247005709
Transylvania County,37175,3.96919582
Tyrrell County,37177,8.896723031
Union County,37179,2.405914622
Vance County,37181,9.54027242
Wake County,37183,7.217157046
Warren County,37185,7.144134987
Washington County,37187,7.040208521
Watauga County,37189,6.928253491
Wayne County,37191,4.650569074
Wilkes County,37193,5.024897931
Wilson County,37195,7.362997739
Yadkin County,37197,6.33482151
Yancey County,37199,7.877250054
Adams County,38001,4.663003089
Barnes County,38003,4.881333915
Benson County,38005,9.207404986
Billings County,38007,6.376976093
Bottineau County,38009,8.062490763
Bowman County,38011,6.70236449
Burke County,38013,4.620418486
Burleigh County,38015,3.130714796
Cass County,38017,3.617458922
Cavalier County,38019,4.676888402
Dickey County,38021,5.859009973
Divide County,38023,8.897577788
Dunn County,38025,3.53456677
Eddy County,38027,6.916868261
Emmons County,38029,9.10847596
Foster County,38031,7.667650116
Golden Valley County,38033,8.710123392
Grand Forks County,38035,8.591960378
Grant County,38037,6.32508797
Griggs County,38039,8.124982059
Hettinger County,38041,7.823040848
Kidder County,38043,5.953868362
LaMoure County,38045,8.550017874
Logan County,38047,6.865217884
McHenry County,38049,5.609952143
McIntosh County,38051,8.895113723
McKenzie County,38053,6.075835643
McLean County,38055,3.355616414
Mercer County,38057,4.413415329
Morton County,38059,5.487521849
Mountrail County,38061,4.30848959
Nelson County,38063,2.917532806
Oliver County,38065,2.732281236
Pembina County,38067,6.587987509
Pierce County,38069,7.122369165
Ramsey County,38071,4.170718377
Ransom County,38073,4.511383625
Renville County,38075,3.685725403
Richland County,38077,3.194663493
Rolette County,38079,5.983246672
Sargent County,38081,7.299412915
Sheridan County,38083,7.510802103
Sioux County,38085,7.773820417
Slope County,38087,9.801167229
Stark County,38089,9.296123888
Steele County,38091,8.09270293
Stutsman County,38093,5.270445693
Towner County,38095,7.984124403
Traill County,38097,4.876882943
Walsh County,38099,8.819186503
Ward County,38101,3.722239629
Wells County,38103,2.459756971
Williams County,38105,5.561086723
Adams County,39001,5.443053081
Allen County,39003,0.776896487
Ashland County,39005,5.795049647
Ashtabula County,39007,5.045549529
Athens County,39009,4.798808943
Auglaize County,39011,4.822673858
Belmont County,39013,5.919313185
Brown County,39015,6.09623483
Butler County,39017,8.065847132
Carroll County,39019,5.983395186
Champaign County,39021,5.971037932
Clark County,39023,5.88708312
Clermont County,39025,3.421838588
Clinton County,39027,5.473905581
Columbiana County,39029,5.356868162
Coshocton County,39031,5.151474902
Crawford County,39033,4.784460373
Cuyahoga County,39035,5.356721546
Darke County,39037,5.546945083
Defiance County,39039,6.250543801
Delaware County,39041,5.829112684
Erie County,39043,6.701855338
Fairfield County,39045,4.963418686
Fayette County,39047,6.531895978
Franklin County,39049,6.530779525
Fulton County,39051,4.222260623
Gallia County,39053,5.40298965
Geauga County,39055,4.686670454
Greene County,39057,5.193769892
Guernsey County,39059,5.063133783
Hamilton County,39061,3.244593581
Hancock County,39063,6.316977424
Hardin County,39065,7.945123202
Harrison County,39067,3.643483996
Henry County,39069,4.279042804
Highland County,39071,5.772484127
Hocking County,39073,3.730362985
Holmes County,39075,6.924576719
Huron County,39077,2.086193798
Jackson County,39079,8.115654592
Jefferson County,39081,6.308652488
Knox County,39083,3.906073562
Lake County,39085,6.583015497
Lawrence County,39087,5.51387329
Licking County,39089,7.612603617
Logan County,39091,4.748434625
Lorain County,39093,4.560654377
Lucas County,39095,6.311180796
Madison County,39097,5.815291268
Mahoning County,39099,4.379791003
Marion County,39101,4.760407859
Medina County,39103,3.362242026
Meigs County,39105,4.070932692
Mercer County,39107,4.760884727
Miami County,39109,4.801787858
Monroe County,39111,4.015220137
Montgomery County,39113,4.70658384
Morgan County,39115,5.272975429
Morrow County,39117,5.791287534
Muskingum County,39119,3.447255578
Noble County,39121,5.743601542
Ottawa County,39123,4.512498306
Paulding County,39125,4.490684622
Perry County,39127,5.08136571
Pickaway County,39129,6.643768631
Pike County,39131,4.437961411
Portage County,39133,6.478556661
Preble County,39135,5.126797362
Putnam County,39137,4.605066908
Richland County,39139,8.014690544
Ross County,39141,5.19289741
Sandusky County,39143,5.412949336
Scioto County,39145,8.912102718
Seneca County,39147,5.508458568
Shelby County,39149,5.329690046
Stark County,39151,3.142942112
Summit County,39153,6.654106731
Trumbull County,39155,4.754718674
Tuscarawas County,39157,3.387284693
Union County,39159,7.734788945
Van Wert County,39161,6.697559584
Vinton County,39163,5.181949553
Warren County,39165,6.380944292
Washington County,39167,5.367323798
Wayne County,39169,3.863284227
Williams County,39171,4.234779181
Wood County,39173,5.997773463
Wyandot County,39175,3.420691557
Adair County,40001,4.438659409
Alfalfa County,40003,4.664606887
Atoka County,40005,4.889879345
Beaver County,40007,3.558207204
Beckham County,40009,4.258150004
Blaine County,40011,5.659447289
Bryan County,40013,6.59909634
Caddo County,40015,4.58427939
Canadian County,40017,5.949933478
Carter County,40019,4.808525306
Cherokee County,40021,6.141344538
Choctaw County,40023,6.333204197
Cimarron County,40025,6.536917004
Cleveland County,40027,6.242762627
Coal County,40029,5.024880428
Comanche County,40031,6.505387126
Cotton County,40033,4.169198116
Craig County,40035,5.622668605
Creek County,40037,6.139709617
Custer County,40039,3.591432057
Delaware County,40041,5.306108303
Dewey County,40043,5.714482153
Ellis County,40045,5.337024111
Garfield County,40047,5.498111655
Garvin County,40049,8.316792913
Grady County,40051,7.263057068
Grant County,40053,6.056854747
Greer County,40055,5.166853621
Harmon County,40057,5.750150817
Harper County,40059,3.07514858
Haskell County,40061,5.528283177
Hughes County,40063,3.259015091
Jackson County,40065,5.591647404
Jefferson County,40067,5.523038355
Johnston County,40069,3.403576504
Kay County,40071,4.707761814
Kingfisher County,40073,4.034004762
Kiowa County,40075,4.123846878
Latimer County,40077,4.943862516
Le Flore County,40079,6.286173692
Lincoln County,40081,6.068942618
Logan County,40083,5.122652889
Love County,40085,7.182429313
McClain County,40087,6.515169752
McCurtain County,40089,4.690977552
McIntosh County,40091,3.32110396
Major County,40093,6.824672903
Marshall County,40095,4.510634311
Mayes County,40097,5.142877798
Murray County,40099,4.823397903
Muskogee County,40101,5.90969731
Noble County,40103,5.572895068
Nowata County,40105,3.784527882
Okfuskee County,40107,3.9551421
Oklahoma County,40109,4.301063715
Okmulgee County,40111,4.592441483
Osage County,40113,0.324978877
Ottawa County,40115,3.808410389
Pawnee County,40117,3.519681974
Payne County,40119,1.057084128
Pittsburg County,40121,3.572942555
Pontotoc County,40123,0.351353746
Pottawatomie County,40125,1.747405969
Pushmataha County,40127,2.20621104
Roger Mills County,40129,4.974113291
Rogers County,40131,3.969935451
Seminole County,40133,2.415203692
Sequoyah County,40135,3.065482486
Stephens County,40137,2.190670566
Texas County,40139,3.366508191
Tillman County,40141,1.58593828
Tulsa County,40143,2.030958403
Wagoner County,40145,3.805125685
Washington County,40147,0.74930769
Washita County,40149,3.276939818
Woods County,40151,3.210765038
Woodward County,40153,0.615962286
Baker County,41001,1.5400485
Benton County,41003,2.252179337
Clackamas County,41005,1.956022341
Clatsop County,41007,1.92889379
Columbia County,41009,2.84585051
Coos County,41011,4.067528575
Crook County,41013,1.230135886
Curry County,41015,1.810890031
Deschutes County,41017,0.27030744
Douglas County,41019,2.516442701
Gilliam County,41021,2.009319972
Grant County,41023,2.360755964
Harney County,41025,-0.732493212
Hood River County,41027,4.430987412
Jackson County,41029,2.392088493
Jefferson County,41031,1.444149211
Josephine County,41033,5.744770009
Klamath County,41035,2.91136157
Lake County,41037,2.546495596
Lane County,41039,3.649479694
Lincoln County,41041,2.815576094
Linn County,41043,2.253819914
Malheur County,41045,3.998910847
Marion County,41047,3.145636836
Morrow County,41049,0.820714961
Multnomah County,41051,2.093551849
Polk County,41053,3.934416996
Sherman County,41055,3.582999453
Tillamook County,41057,0.300065358
Umatilla County,41059,4.213708665
Union County,41061,3.219407062
Wallowa County,41063,3.319272035
Wasco County,41065,2.176835022
Washington County,41067,1.26833039
Wheeler County,41069,3.614833701
Yamhill County,41071,1.179887238
Adams County,42001,1.487716232
Allegheny County,42003,2.129169942
Armstrong County,42005,2.684111029
Beaver County,42007,3.574213242
Bedford County,42009,3.325212037
Berks County,42011,1.594161228
Blair County,42013,2.332131435
Bradford County,42015,0.951374865
Bucks County,42017,4.858316831
Butler County,42019,2.265316145
Cambria County,42021,4.385678117
Cameron County,42023,2.280913124
Carbon County,42025,3.643229197
Centre County,42027,1.366186335
Chester County,42029,3.399364551
Clarion County,42031,1.968063041
Clearfield County,42033,4.764193137
Clinton County,42035,6.051690622
Columbia County,42037,6.941957815
Crawford County,42039,6.017373056
Cumberland County,42041,6.312766417
Dauphin County,42043,4.371769678
Delaware County,42045,7.672041087
Elk County,42047,2.839361157
Erie County,42049,7.80524633
Fayette County,42051,4.702594537
Forest County,42053,6.717183582
Franklin County,42055,7.500870811
Fulton County,42057,7.278148277
Greene County,42059,7.516534299
Huntingdon County,42061,4.716886678
Indiana County,42063,5.663292122
Jefferson County,42065,4.154594256
Juniata County,42067,4.648391602
Lackawanna County,42069,6.235646776
Lancaster County,42071,4.838176221
Lawrence County,42073,6.197725142
Lebanon County,42075,3.641381573
Lehigh County,42077,4.324784495
Luzerne County,42079,5.262327422
Lycoming County,42081,6.777421252
McKean County,42083,7.620504962
Mercer County,42085,5.816597749
Mifflin County,42087,7.034467199
Monroe County,42089,6.014658801
Montgomery County,42091,5.982010523
Montour County,42093,5.042879854
Northampton County,42095,6.421227717
Northumberland County,42097,4.050471254
Perry County,42099,6.632218415
Philadelphia County,42101,6.268295907
